,statement,link,veracity
0,"Donald Trump's second impeachment ""cost $33 million.""",/factchecks/2021/feb/19/facebook-posts/trumps-second-impeachment-did-not-cost-33-million/,false
1,"“There is a consensus among economists left, right, and center… that we can’t spend too much” on COVID-19 relief.",/factchecks/2021/feb/18/joe-biden/joe-biden-exaggerates-support-among-economists-his/,barely-true
2,"After the Capitol insurrection, “one of the first people arrested was a leader of antifa.""",/factchecks/2021/feb/12/michael-van-der-veen/trump-impeachment-defense-lawyer-wrongly-singles-o/,barely-true
3,"“If you're making less than $15 an hour, you're living below the poverty wage.”",/factchecks/2021/feb/10/joe-biden/fact-checking-bidens-claim-about-15-minimum-wage-a/,half-true
4,"“Biden’s Air Force One is not the same as Trump’s Air Force One,” which indicates Biden is not the real president.",/factchecks/2021/feb/09/facebook-posts/any-air-force-plane-ferrying-president-technically/,pants-fire
5,"Says Rep. Brian Fitzpatrick, R-Pa., “stood with Trump and the lies… He stood with QAnon, not you.”",/factchecks/2021/feb/05/dccc-lgo/democratic-ad-ties-penn-congressman-trump-and-qano/,barely-true
6,"States are seeing increases in revenue, with an average decline of just 0.12% compared with 2019. Over half of states report positive growth, including California, New York, and Illinois.",/factchecks/2021/feb/05/rick-scott/sen-rick-scott-misrepresents-covid-19s-toll-state-/,barely-true
7,“Donald Trump is the first president in modern history (who) did not start a new war.”,/factchecks/2021/feb/02/donald-trump-jr/donald-trump-jr-distorts-trumps-war-record/,barely-true
8,“The Biden administration lost 20 million COVID vaccines.”,/factchecks/2021/feb/01/ryan-fournier/biden-administration-didnt-lose-20-million-covid-1/,false
9,Masks have negative impacts on 68% of children.,/factchecks/2021/jan/29/instagram-posts/no-masks-dont-have-negative-effects-68-children/,false
10,“84% of all new electric capacity planned to come onto the electric grid this year is clean energy.”,/factchecks/2021/jan/29/joe-biden/joe-biden-clean-energy-provide-84-new-electric-pow/,mostly-true
11,Says Joe Biden is “following through with a fracking ban.”,/factchecks/2021/jan/28/facebook-posts/biden-fracking-policy-still-doesnt-amount-full-ban/,barely-true
12,"""Joe Biden admits he is governing like a 'dictator.'""",/factchecks/2021/jan/28/charlie-kirk/biden-did-not-admit-hes-governing-dictator/,false
13,"""The process to distribute the vaccine, particularly outside of nursing homes and hospitals out into the community as a whole, did not really exist when we came into the White House.""",/factchecks/2021/jan/27/ron-klain/trump-vaccine-plan-left-logistics-states-it-did-ex/,barely-true
14,"“I believe, without having definitive proof, that the military is in charge of our country ... because Joe Biden is an illegal president.”",/factchecks/2021/jan/26/l-lin-wood/pro-trump-lawyer-falsely-claims-biden-illegal-pres/,pants-fire
15,"The Paris Climate Agreement is “bad for America,” because it ""does nothing to hold real polluters, like Communist China and India, accountable.""",/factchecks/2021/jan/26/rick-scott/paris-climate-agreement-easier-china-and-india-us/,barely-true
16,"Joe Biden was sworn in on a ""Masonic/Illuminati Bible.""",/factchecks/2021/jan/25/facebook-posts/biden-was-not-sworn-illuminati-bible/,pants-fire
17,"A majority of Americans have voted for a party that … wants a world in which you cannot call your parents mom and dad.""",/factchecks/2021/jan/25/glenn-grothman/no-democrats-are-not-eliminating-right-americans-c/,false
18,"On Inauguration Day, Vice President Kamala Harris “put her clutch on top of the Bible so her hand is not touching it.”",/factchecks/2021/jan/22/facebook-posts/kamala-harris-was-sworn-stack-bibles-not-clutch-pu/,pants-fire
19,"Says Biden had to take a private plane to D.C. instead of a government plane “because they know he’s not a legitimate president” and ""the military is now responsible for restoring legitimate civilian government.”",/factchecks/2021/jan/21/facebook-posts/biden-took-private-plane-his-inauguration-hes-stil/,false
20,“There will be several thousand dollars in payments going to families with six-figure incomes who’ve had no income interruption whatsoever.”,/factchecks/2021/jan/21/pat-toomey/fact-checking-pat-toomeys-claim-families-six-figur/,true
